IJH,ISHARES S&P MID-CAP ETF|Not Applic
MOQ,MOQ LIMITED|Software & Services
1PG,1-PAGE LIMITED|Software & Services
ONT,1300 SMILES LIMITED|Health Care Equipment & Services
1ST,1ST GROUP LIMITED|Health Care Equipment & Services
T3D,333D LIMITED|Food & Beverage & Tobacco
TGP,360 CAPITAL GROUP|Real Estate
TOT,360 CAPITAL TOTAL RETURN FUND|Not Applic
TDO,3D OIL LIMITED|Energy
DDD,3D RESOURCES LIMITED|Materials
3PL,3P LEARNING LIMITED..|Consumer Services
4DS,4DS MEMORY LIMITED|Semiconductors & Semiconductor Equipment
88E,88 ENERGY LIMITED|Energy
8CO,8COMMON LIMITED|Software & Services
8IH,8I HOLDINGS LTD|Diversified Financials
8EC,8IP EMERGING COMPANIES LIMITED|Not Applic
9SP,9 SPOKES INTERNATIONAL LIMITED|Software & Services
NNW,99 WUXIAN LIMITED|Retailing
ACB,A-CAP RESOURCES LIMITED|Energy
AYI,A1 INVESTMENTS & RESOURCES LTD|Diversified Financials
ABP,ABACUS PROPERTY GROUP|Real Estate
ALR,ABERDEEN LEADERS LIMITED|Diversified Financials
ABL,ABILENE OIL AND GAS LIMITED|Energy
ABU,ABM RESOURCES NL|Materials
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED|Not Applic
ABT,ABUNDANT PRODUCE LIMITED|Food & Beverage & Tobacco
AJC,ACACIA COAL LIMITED|Energy
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED|Consumer Services
ACS,ACCENT RESOURCES NL|Materials
ACX,ACONEX LIMITED|Software & Services
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED|Not Applic
ACR,ACRUX LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
ACW,ACTINOGEN MEDICAL LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
AIV,ACTIVEX LIMITED|Materials
ACU,ACTIVISTIC LIMITED|Software & Services
ADA,ADACEL TECHNOLOGIES LIMITED|Software & Services
ADH,ADAIRS LIMITED|Retailing
1AD,ADALTA LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
ADD,ADAVALE RESOURCES LIMITED|Energy
AAU,ADCORP AUSTRALIA LIMITED|Media
ABC,ADELAIDE BRIGHTON LIMITED|Materials
ADQ,ADG GLOBAL SUPPLY LIMITED.|Capital Goods
ADR,ADHERIUM LIMITED|Health Care Equipment & Services
AHZ,ADMEDUS LTD|Health Care Equipment & Services
ADY,ADMIRALTY RESOURCES NL.|Materials
ADJ,ADSLOT LTD|Software & Services
ABV,ADVANCED BRAKING TECHNOLOGY LTD|Automobiles & Components
ANO,ADVANCED NANO TECHNOLOGIES LIMITED|Materials
ASW,ADVANCED SHARE REGISTRY LIMITED|Diversified Financials
ADX,ADX ENERGY LTD|Energy
AER,AEERIS LTD|Software & Services
AML,AEON METALS LIMITED.|Materials
AEI,AERIS ENVIRONMENTAL LTD|Commercial & Professional Services
AIS,AERIS RESOURCES LIMITED|Materials
AFR,AFRICAN ENERGY RESOURCES LIMITED|Energy
AFT,AFT CORPORATION LIMITED|Capital Goods
AFP,AFT PHARMACEUTICALS LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
AFY,AFTERPAY HOLDINGS LIMITED|Software & Services
AGL,AGL ENERGY LIMITED.|Utilities
AGJ,AGRICULTURAL LAND TRUST|Real Estate
AMN,AGRIMIN LIMITED|Materials
AGR,AGUIA RESOURCES LIMITED|Materials
AHL,AHALIFE HOLDINGS LIMITED|Software & Services
APW,AIMS PROPERTY SECURITIES FUND|Real Estate
AGI,AINSWORTH GAME TECHNOLOGY LIMITED|Consumer Services
AIZ,AIR NEW ZEALAND LIMITED|Transportation
INC.,AIRXPANDERS|AXP
AJL,AJ LUCAS GROUP LIMITED|Capital Goods
AQG,ALACER GOLD CORP.|Materials
AUQ,ALARA RESOURCES LIMITED|Materials
ACL,ALCHEMIA LIMITED|Pharmaceuticals & Biotechnology & Life Sciences
ALY,ALCHEMY RESOURCES LIMITED|Materials
ALC,ALCIDION GROUP LIMITED|Health Care Equipment & Services
LEP,ALE PROPERTY GROUP|Real Estate
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED|Materials
AEB,ALGAE.TEC LIMITED|Energy
AQI,ALICANTO MINERALS LIMITED|Materials
AQX,ALICE QUEEN LIMITED|Energy
ALK,ALKANE RESOURCES LIMITED|Materials
AHQ,ALLEGIANCE COAL LIMITED|Energy
AMT,ALLEGRA ORTHOPAEDICS LIMITED|Health Care Equipment & Services
AQZ,ALLIANCE AVIATION SERVICES LIMITED|Transportation
AGS,ALLIANCE RESOURCES LIMITED|Materials
AGE,ALLIGATOR ENERGY LIMITED|Energy
